q,r,scale
1.1628220860453071,1.167439368253268,0.18039607074404715
1.2788399714254726,1.4040152928053486,0.13724987474192563
0.9605839493347319,1.2687362342098127,0.1814877092503616
0.7193020629322159,1.0064873142726594,0.16245388821507084
1.1097616050657024,1.1959310422196792,0.17118165029185417
0.5641165353843333,0.9226911976816348,0.1380918629253492
0.5458896153395492,0.921121525199303,0.17002627366226808
1.4506289840343218,0.7776921410733079,0.17185970577249382
1.329870673554204,1.0018794468690184,0.18018874500560442
0.7499167808443554,0.7491590693449832,0.19415895096363633
0.5387232581649762,0.7050992954451059,0.1539759841475075
0.7527276886175933,0.7455737693550308,0.18073498697044282
1.4143995891079006,1.3504078987561723,0.19838329270776972
0.7201548115611338,0.9615259977578567,0.19501084954259174
1.9344050068098193,1.266213654763684,0.16327835565548046
0.9420605984302193,1.0678427530232557,0.21200494389460775
0.5130220634230678,1.0520595964658477,0.126746170889775
0.91779505759429,0.847278016327802,0.18112364052294655
0.8162055170395086,0.8929059192289449,0.1816532967596792
0.9852059882464806,1.1328390973686144,0.2052775568090399
1.201014375315062,0.9908347566400173,0.15896612564498194
1.4338579100934459,1.3485019779629164,0.2288199248564894
0.5995892955635606,0.8455032026320569,0.15051600869837645
1.3339919963082498,1.2558310340072816,0.21547782215127445
1.7251627758998367,0.9853488436780263,0.14669653439682
0.6543721285550674,0.5713203812836822,0.11281111972894117
0.6455796753095959,0.5657611733746902,0.12666926829569797
