q,r,scale
1.974268135169079,0.9730371276323677,0.1653109595711774
0.6831399922153321,1.0331549447533843,0.1381926729819507
1.2932736629342882,1.3944619068306534,0.1540563395401339
0.8926618466674703,0.8230266578973118,0.12705815160261755
0.6291613728357306,0.9501163661580148,0.13081652187658077
1.0858008605230067,0.8481495121712099,0.25770393623777305
0.9692183414161363,0.9748487308714943,0.15622696463266786
0.6959973060913924,0.8660876073481828,0.07735487644001027
0.7530684901501782,0.9716604968905587,0.14277320295426932
0.9009202963572231,1.1119872872678804,0.1219058849932289
1.053267600158242,1.0888626657742917,0.13964798456541247
0.7351787468158639,0.7190283422792288,0.15382799594339347
0.7477780932861006,0.8088006365609411,0.12070210975877867
0.6970318182840041,1.0634266856534242,0.12686507699343275
1.3477574944319026,1.139555155554593,0.15538274718002854
1.8994753555808315,1.2519546091089775,0.09194056506763301
0.656233341658139,1.0347867127888588,0.19431386393137512
1.107822675165179,0.9911877225145411,0.1578867705548467
0.5009613319717551,1.0853378732498393,0.10595628563569341
0.5542207762193402,0.934421909665414,0.16878026261184703
1.173633080417518,1.151788800846013,0.18290792566347358
0.735794170088342,1.023327786141905,0.15714168971180184
1.2184925804208544,1.0985958461109535,0.09931083708338204
1.2474177878580925,1.1550423829388567,0.11895249839655248
1.1819894953797478,0.846848665455385,0.11609433148010599
1.2082230125827806,0.8753192462682172,0.13484068543698585
0.8405883933831625,0.934405022398012,0.14060611783680046
0.7543374746205557,0.9426138928650595,0.15132447392657955
1.4622864673177527,0.9081654060044295,0.1281751843712696
