video_name,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user17,user18,user19,user20,user21,user22,user23,user24,user25,user26,user27
Exploring_China_UHD_4K_Demo_60_FPS.256x144.vp9.none.mkv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1
Exploring_China_UHD_4K_Demo_60_FPS.3840x2160.vp9.none.mkv,5,5,5,4,5,5,5,5,4,5,5,4,3,5,4,5,4,5,5,5,5,5,5,4,5,5,5
Exploring_China_UHD_4K_Demo_60_FPS.426x240.vp9.none.mkv,3,2,1,1,1,2,2,1,2,1,2,1,1,2,1,1,2,3,1,1,1,1,2,2,2,2,2
Exploring_China_UHD_4K_Demo_60_FPS.640x360.vp9.none.mkv,1,2,2,1,3,2,2,3,2,2,2,2,1,2,1,2,2,3,2,2,2,1,3,2,3,3,3
Exploring_China_UHD_4K_Demo_60_FPS.854x480.vp9.none.mkv,3,2,2,2,3,3,3,3,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,2,3,4,3
GoPro_-_HERO7_Black_HyperSmooth_-_Formula_Drift_Race_Drone.1280x720.vp9.none.mkv,5,4,2,3,4,4,4,3,4,4,4,3,3,3,4,5,3,5,3,5,3,5,4,4,4,4,4
GoPro_-_HERO7_Black_HyperSmooth_-_Formula_Drift_Race_Drone.1920x1080.vp9.none.mkv,5,4,3,3,3,4,4,4,4,5,4,4,4,3,5,4,4,5,4,4,4,5,4,5,5,4,4
GoPro_-_HERO7_Black_HyperSmooth_-_Formula_Drift_Race_Drone.2560x1440.vp9.none.mkv,5,5,5,4,4,5,4,4,5,5,4,4,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5
GoPro_-_HERO7_Black_HyperSmooth_-_Formula_Drift_Race_Drone.256x144.vp9.none.mkv,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
GoPro_-_HERO7_Black_HyperSmooth_-_Formula_Drift_Race_Drone.3840x2160.vp9.none.mkv,4,4,4,4,5,4,4,5,4,5,5,5,5,5,5,5,4,5,5,4,3,5,5,5,5,5,5
GoPro_-_HERO7_Black_HyperSmooth_-_Formula_Drift_Race_Drone.426x240.vp9.none.mkv,2,1,1,2,1,1,2,2,1,2,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,3,2
GoPro_-_HERO7_Black_HyperSmooth_-_Formula_Drift_Race_Drone.640x360.vp9.none.mkv,2,2,2,2,2,3,2,2,2,1,3,2,1,1,2,4,2,3,2,1,2,3,2,3,3,2,3
GoPro_-_HERO7_Black_HyperSmooth_-_Formula_Drift_Race_Drone.854x480.vp9.none.mkv,4,3,2,2,3,3,3,2,3,3,3,3,2,2,3,2,3,4,3,2,3,3,2,3,3,3,3
Gute_Nachrichten_von_Tesla_und_Dinosauriergebruell.1280x720.vp9.none.mkv,5,5,4,5,3,5,4,4,4,3,4,4,4,4,5,4,3,5,4,4,5,4,4,5,5,4,4
Gute_Nachrichten_von_Tesla_und_Dinosauriergebruell.1920x1080.vp9.none.mkv,5,5,4,5,5,5,4,5,5,5,5,4,5,4,5,5,4,5,5,3,5,5,4,4,5,5,5
Gute_Nachrichten_von_Tesla_und_Dinosauriergebruell.2560x1440.vp9.none.mkv,5,5,4,4,4,5,5,5,5,5,5,5,5,4,5,5,4,5,4,4,4,5,4,4,5,5,5
Gute_Nachrichten_von_Tesla_und_Dinosauriergebruell.256x144.vp9.none.mkv,2,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1
Gute_Nachrichten_von_Tesla_und_Dinosauriergebruell.3840x2160.vp9.none.mkv,4,5,5,5,4,5,4,5,4,5,5,5,5,4,5,5,4,5,5,4,5,5,4,4,5,5,5
Gute_Nachrichten_von_Tesla_und_Dinosauriergebruell.426x240.vp9.none.mkv,1,1,1,3,2,3,2,1,3,2,3,1,1,2,2,2,2,3,2,2,2,1,2,2,3,3,3
Gute_Nachrichten_von_Tesla_und_Dinosauriergebruell.640x360.vp9.none.mkv,3,2,2,3,3,4,2,2,3,3,3,3,1,2,2,2,2,4,2,2,3,3,3,3,4,3,3
Gute_Nachrichten_von_Tesla_und_Dinosauriergebruell.854x480.vp9.none.mkv,3,3,3,4,3,4,3,3,4,4,3,3,2,3,4,3,3,4,3,3,3,4,4,3,4,4,4
Harmonic_4K_Video_-_American_Football_in_4K_UHD_60_FPS.1280x720.vp9.none.mkv,4,5,3,4,3,4,3,4,3,4,4,3,2,3,3,3,3,4,3,3,3,4,4,3,4,5,4
Harmonic_4K_Video_-_American_Football_in_4K_UHD_60_FPS.1920x1080.vp9.none.mkv,4,4,5,4,4,4,4,5,4,5,4,3,2,5,4,4,4,4,5,4,3,4,5,3,4,4,5
Harmonic_4K_Video_-_American_Football_in_4K_UHD_60_FPS.2560x1440.vp9.none.mkv,4,5,5,5,4,5,4,5,5,5,5,4,3,5,5,4,3,5,5,5,4,5,5,4,5,5,5
Harmonic_4K_Video_-_American_Football_in_4K_UHD_60_FPS.256x144.vp9.none.mkv,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
Harmonic_4K_Video_-_American_Football_in_4K_UHD_60_FPS.3840x2160.vp9.none.mkv,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,4,5,5,5,4,5,4,5
Harmonic_4K_Video_-_American_Football_in_4K_UHD_60_FPS.426x240.vp9.none.mkv,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,2,2,1,1,2,2,1,2,1,3
Harmonic_4K_Video_-_American_Football_in_4K_UHD_60_FPS.640x360.vp9.none.mkv,3,1,1,2,2,3,2,2,2,2,2,2,1,2,3,1,2,3,2,2,2,2,2,3,3,2,3
Harmonic_4K_Video_-_American_Football_in_4K_UHD_60_FPS.854x480.vp9.none.mkv,3,1,2,4,2,4,2,3,3,3,3,3,2,3,2,2,3,4,3,2,3,3,2,3,4,4,4
Harmonic_4K_Video_-_India_in_4K_UHD_60_FPS.1280x720.vp9.none.mkv,5,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,5,4,3,4,4,4,4,4,5,5
Harmonic_4K_Video_-_India_in_4K_UHD_60_FPS.1920x1080.vp9.none.mkv,5,5,4,4,5,5,5,4,4,3,4,4,5,4,5,5,3,5,4,4,5,5,5,5,5,5,4
Harmonic_4K_Video_-_India_in_4K_UHD_60_FPS.2560x1440.vp9.none.mkv,5,5,5,5,3,4,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,4
Harmonic_4K_Video_-_India_in_4K_UHD_60_FPS.256x144.vp9.none.mkv,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1
Harmonic_4K_Video_-_India_in_4K_UHD_60_FPS.3840x2160.vp9.none.mkv,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5
Harmonic_4K_Video_-_India_in_4K_UHD_60_FPS.426x240.vp9.none.mkv,3,1,1,2,3,1,2,1,2,1,2,2,1,2,2,2,1,3,2,2,2,3,2,2,3,3,2
Harmonic_4K_Video_-_India_in_4K_UHD_60_FPS.640x360.vp9.none.mkv,3,3,2,3,3,3,3,3,3,2,3,2,1,3,4,3,3,4,2,2,2,3,3,3,4,3,3
Harmonic_4K_Video_-_India_in_4K_UHD_60_FPS.854x480.vp9.none.mkv,4,3,3,3,2,3,3,3,3,3,4,4,2,3,3,3,3,4,3,4,4,4,3,3,4,4,3
Harmonic_4K_Video_-_Snowbirds_Air_Acrobatics_in_4K_UHD_60_FPS.1280x720.vp9.none.mkv,3,5,4,3,4,4,4,4,4,4,4,5,3,3,4,4,2,5,4,3,3,4,4,4,4,4,4
Harmonic_4K_Video_-_Snowbirds_Air_Acrobatics_in_4K_UHD_60_FPS.1920x1080.vp9.none.mkv,4,4,4,4,5,5,5,4,4,4,5,3,3,4,4,3,3,5,5,3,4,5,4,4,4,4,4
Harmonic_4K_Video_-_Snowbirds_Air_Acrobatics_in_4K_UHD_60_FPS.2560x1440.vp9.none.mkv,4,4,5,4,4,4,4,4,3,4,5,4,5,3,5,4,4,4,5,4,4,4,5,4,5,5,5
Harmonic_4K_Video_-_Snowbirds_Air_Acrobatics_in_4K_UHD_60_FPS.256x144.vp9.none.mkv,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2
Harmonic_4K_Video_-_Snowbirds_Air_Acrobatics_in_4K_UHD_60_FPS.3840x2160.vp9.none.mkv,4,4,5,4,4,4,4,4,3,5,5,4,4,3,4,3,4,5,5,4,4,5,5,4,5,4,5
Harmonic_4K_Video_-_Snowbirds_Air_Acrobatics_in_4K_UHD_60_FPS.426x240.vp9.none.mkv,3,2,1,2,2,2,2,1,3,2,3,2,1,1,2,2,1,3,2,2,2,3,2,2,2,2,3
Harmonic_4K_Video_-_Snowbirds_Air_Acrobatics_in_4K_UHD_60_FPS.640x360.vp9.none.mkv,3,3,2,3,3,3,2,2,4,3,3,2,2,2,3,2,2,3,2,1,2,2,2,3,3,3,3
Harmonic_4K_Video_-_Snowbirds_Air_Acrobatics_in_4K_UHD_60_FPS.854x480.vp9.none.mkv,4,3,2,3,2,4,3,3,3,2,3,3,2,3,3,4,2,4,3,2,2,3,4,3,3,3,3
Harmonic_4K_Video_-_Venice_in_4K_UHD_60_FPS.1280x720.vp9.none.mkv,4,5,3,4,4,4,5,4,4,5,4,4,4,4,5,4,3,5,3,3,4,5,4,5,5,5,4
Harmonic_4K_Video_-_Venice_in_4K_UHD_60_FPS.1920x1080.vp9.none.mkv,5,5,4,5,4,4,4,4,4,5,4,4,5,4,5,5,4,5,4,5,4,5,5,4,5,5,5
Harmonic_4K_Video_-_Venice_in_4K_UHD_60_FPS.2560x1440.vp9.none.mkv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5
Harmonic_4K_Video_-_Venice_in_4K_UHD_60_FPS.256x144.vp9.none.mkv,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
Harmonic_4K_Video_-_Venice_in_4K_UHD_60_FPS.3840x2160.vp9.none.mkv,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
Harmonic_4K_Video_-_Venice_in_4K_UHD_60_FPS.426x240.vp9.none.mkv,2,1,2,2,1,2,3,2,3,2,2,2,1,2,3,2,1,2,2,2,2,2,2,2,3,2,3
Harmonic_4K_Video_-_Venice_in_4K_UHD_60_FPS.640x360.vp9.none.mkv,3,3,2,3,3,4,2,3,2,2,2,3,3,3,2,3,2,3,2,3,3,3,3,2,4,3,3
Harmonic_4K_Video_-_Venice_in_4K_UHD_60_FPS.854x480.vp9.none.mkv,2,4,2,4,3,4,3,3,3,4,3,4,3,3,3,3,3,4,2,3,4,3,4,3,4,4,4
LG_4K_DEMO_HDR_2018_60FPS_OLED_PERPECT_BLACK.1280x720.vp9.none.mkv,5,5,4,4,4,4,2,4,4,4,4,3,2,3,5,4,4,4,4,4,5,4,4,3,4,4,3
LG_4K_DEMO_HDR_2018_60FPS_OLED_PERPECT_BLACK.1920x1080.vp9.none.mkv,5,4,4,2,4,5,4,4,5,5,4,4,2,4,5,4,3,5,4,4,3,5,5,5,4,5,4
LG_4K_DEMO_HDR_2018_60FPS_OLED_PERPECT_BLACK.2560x1440.vp9.none.mkv,5,5,4,5,5,5,4,5,5,5,5,4,4,4,5,4,5,5,5,4,5,5,4,5,5,5,4
LG_4K_DEMO_HDR_2018_60FPS_OLED_PERPECT_BLACK.256x144.vp9.none.mkv,2,1,2,1,1,2,2,2,2,2,2,1,1,1,3,2,2,3,1,1,2,1,2,2,2,2,1
LG_4K_DEMO_HDR_2018_60FPS_OLED_PERPECT_BLACK.3840x2160.vp9.none.mkv,5,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5
LG_4K_DEMO_HDR_2018_60FPS_OLED_PERPECT_BLACK.426x240.vp9.none.mkv,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,4,2,2,2,2,3,1,3,3,3
